iteration,cost,bias
100,0.42888324888178114,-0.5027465504164764
200,0.3895221392300308,-0.6221276803954916
300,0.3793905646665443,-0.6193764177169532
400,0.37443488489495247,-0.5948309534575574
500,0.37138922478531533,-0.5839069962140516
600,0.3692803144445076,-0.5811922089734565
700,0.3677051751366829,-0.5826394158198269
800,0.366467275587624,-0.5862003608032844
900,0.36545635236956103,-0.5907727420503844
1000,0.36460591654987695,-0.595787132675392
1500,0.3616780852872564,-0.6203820199942462
2000,0.359743626240497,-0.6375187491672153
2500,0.3581600415658198,-0.6464199336116887
3000,0.3568096841550739,-0.649406209076777
3500,0.3557147833121771,-0.6474351400818917
4000,0.3548840032202498,-0.6409216151602027
